Model,MSO44
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-07
Record Length,5000
Zero Index,699.00000000
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
-5.59200000e-04,7.43593750e-02
-5.58400000e-04,7.49921875e-02
-5.57600000e-04,7.47500000e-02
-5.56800000e-04,7.58046875e-02
-5.56000000e-04,7.53828125e-02
-5.55200000e-04,7.48281250e-02
-5.54400000e-04,7.52968750e-02
-5.53600000e-04,7.55546875e-02
-5.52800000e-04,7.53671875e-02
-5.52000000e-04,7.43593750e-02
-5.51200000e-04,7.47109375e-02
-5.50400000e-04,7.48750000e-02
-5.49600000e-04,7.56953125e-02
-5.48800000e-04,7.51562500e-02
-5.48000000e-04,7.53437500e-02
-5.47200000e-04,7.57187500e-02
-5.46400000e-04,7.55078125e-02
-5.45600000e-04,7.57812500e-02
-5.44800000e-04,7.45937500e-02
-5.44000000e-04,7.52109375e-02
-5.43200000e-04,7.49531250e-02
-5.42400000e-04,7.62890625e-02
-5.41600000e-04,7.51953125e-02
-5.40800000e-04,7.50781250e-02
-5.40000000e-04,7.57031250e-02
-5.39200000e-04,7.51953125e-02
-5.38400000e-04,7.51562500e-02
-5.37600000e-04,7.40703125e-02
-5.36800000e-04,7.47265625e-02
-5.36000000e-04,7.47265625e-02
-5.35200000e-04,7.56406250e-02
-5.34400000e-04,7.50625000e-02
-5.33600000e-04,7.43984375e-02
-5.32800000e-04,7.52187500e-02
-5.32000000e-04,7.53828125e-02
-5.31200000e-04,7.50937500e-02
-5.30400000e-04,7.42578125e-02
-5.29600000e-04,7.49453125e-02
-5.28800000e-04,7.53437500e-02
-5.28000000e-04,7.61562500e-02
-5.27200000e-04,7.55312500e-02
-5.26400000e-04,7.57890625e-02
-5.25600000e-04,7.62421875e-02
-5.24800000e-04,7.59140625e-02
-5.24000000e-04,7.59218750e-02
-5.23200000e-04,7.46562500e-02
-5.22400000e-04,7.53906250e-02
-5.21600000e-04,7.49296875e-02
-5.20800000e-04,7.61562500e-02
-5.20000000e-04,7.51093750e-02
-5.19200000e-04,7.51328125e-02
-5.18400000e-04,7.56093750e-02
-5.17600000e-04,7.53203125e-02
-5.16800000e-04,7.49843750e-02
-5.16000000e-04,7.43203125e-02
-5.15200000e-04,7.46328125e-02
-5.14400000e-04,7.47578125e-02
-5.13600000e-04,7.57031250e-02
-5.12800000e-04,7.50078125e-02
-5.12000000e-04,7.48203125e-02
-5.11200000e-04,7.53203125e-02
-5.10400000e-04,7.55468750e-02
-5.09600000e-04,7.54375000e-02
-5.08800000e-04,7.43281250e-02
-5.08000000e-04,7.48671875e-02
-5.07200000e-04,7.51953125e-02
-5.06400000e-04,7.59687500e-02
-5.05600000e-04,7.53984375e-02
-5.04800000e-04,7.56406250e-02
-5.04000000e-04,7.59218750e-02
-5.03200000e-04,7.56406250e-02
-5.02400000e-04,7.57421875e-02
-5.01600000e-04,7.44921875e-02
-5.00800000e-04,7.52968750e-02
-5.00000000e-04,7.47968750e-02
-4.99200000e-04,7.60546875e-02
-4.98400000e-04,7.52656250e-02
-4.97600000e-04,7.48984375e-02
-4.96800000e-04,7.56953125e-02
-4.96000000e-04,7.54843750e-02
-4.95200000e-04,7.52500000e-02
-4.94400000e-04,7.43984375e-02
-4.93600000e-04,7.52343750e-02
-4.92800000e-04,7.49609375e-02
-4.92000000e-04,7.60625000e-02
-4.91200000e-04,7.55390625e-02
-4.90400000e-04,7.50859375e-02
-4.89600000e-04,7.55625000e-02
-4.88800000e-04,7.58437500e-02
-4.88000000e-04,7.54531250e-02
-4.87200000e-04,7.44296875e-02
-4.86400000e-04,7.48671875e-02
-4.85600000e-04,7.48593750e-02
-4.84800000e-04,7.55937500e-02
-4.84000000e-04,7.49765625e-02
-4.83200000e-04,7.51562500e-02
-4.82400000e-04,7.53906250e-02
-4.81600000e-04,7.54375000e-02
-4.80800000e-04,7.54218750e-02
-4.80000000e-04,7.43984375e-02
-4.79200000e-04,7.50390625e-02
-4.78400000e-04,7.47578125e-02
-4.77600000e-04,7.61328125e-02
-4.76800000e-04,7.52500000e-02
-4.76000000e-04,7.50859375e-02
-4.75200000e-04,7.56796875e-02
-4.74400000e-04,7.53828125e-02
-4.73600000e-04,7.52343750e-02
-4.72800000e-04,7.44843750e-02
-4.72000000e-04,7.48593750e-02
-4.71200000e-04,7.49296875e-02
-4.70400000e-04,7.59609375e-02
-4.69600000e-04,7.54062500e-02
-4.68800000e-04,7.51171875e-02
-4.68000000e-04,7.54531250e-02
-4.67200000e-04,7.55625000e-02
-4.66400000e-04,7.54062500e-02
-4.65600000e-04,7.45000000e-02
-4.64800000e-04,7.49218750e-02
-4.64000000e-04,7.50390625e-02
-4.63200000e-04,7.57656250e-02
-4.62400000e-04,7.54531250e-02
-4.61600000e-04,7.55000000e-02
-4.60800000e-04,7.56718750e-02
-4.60000000e-04,7.55156250e-02
-4.59200000e-04,7.57578125e-02
-4.58400000e-04,7.42656250e-02
-4.57600000e-04,7.50859375e-02
-4.56800000e-04,7.47265625e-02
-4.56000000e-04,7.60859375e-02
-4.55200000e-04,7.50546875e-02
-4.54400000e-04,7.51562500e-02
-4.53600000e-04,7.57578125e-02
-4.52800000e-04,7.53984375e-02
